60
13221001,33,49,10,76
13221002,80,98,73,82
13221003,32,71,46,74
13221004,44,73,59,41
13221005,84,42,38,46
13221006,72,74,97,92
13221007,30,72,34,54
13221008,85,86,52,72
13221009,56,71,61,56
13221010,93,67,32,96
13221011,55,67,60,55
13221012,58,69,84,66
13221013,81,82,72,45
13221014,84,66,87,45
13221015,97,43,73,78
13221016,32,51,92,95
13221017,75,99,35,86
13221018,59,62,75,88
13221019,72,70,32,79
13221020,85,63,90,81
13221021,37,76,99,41
13221022,52,78,61,90
13221023,43,69,94,71
13221024,55,56,57,74
13221025,58,31,75,97
13221026,38,75,61,89
13221027,87,68,31,82
13221028,35,75,90,99
13221029,37,85,39,84
13221030,95,62,36,30
13221031,98,90,84,91
13221032,81,79,86,57
13221033,80,56,78,82
13221034,99,48,52,51
13221035,70,93,57,75
13221036,96,52,56,10
13221037,44,83,62,51
13221038,68,77,73,37
13221039,88,47,97,88
13221040,53,39,31,86
13221041,91,36,50,57
13221042,49,68,73,36
13221043,89,65,33,71
13221044,65,56,85,86
13221045,91,85,38,91
13221046,62,43,78,77
13221047,74,41,65,35
13221048,72,96,99,94
13221049,69,87,78,34
13221050,35,70,88,42
13221051,81,73,87,38
13221052,95,57,90,70
13221053,65,75,38,81
13221054,72,84,77,62
13221055,63,30,46,69
13221056,48,95,77,53
13221057,60,99,73,54
13221058,92,39,82,71
13221059,78,40,45,59
13221060,78,48,67,74
