90
13221001,58,57,68,32
13221002,53,82,61,96
13221003,98,89,57,60
13221004,88,36,63,56
13221005,97,61,59,60
13221006,70,67,100,31
13221007,33,62,76,92
13221008,70,42,98,73
13221009,39,82,71,90
13221010,85,67,67,37
13221011,75,42,56,60
13221012,31,65,60,74
13221013,47,63,79,69
13221014,63,68,50,59
13221015,93,34,61,65
13221016,51,97,51,97
13221017,40,78,46,48
13221018,57,58,94,87
13221019,48,47,58,75
13221020,45,59,38,37
13221021,56,62,87,45
13221022,44,49,40,88
13221023,94,40,82,65
13221024,56,81,94,51
13221025,97,59,86,76
13221026,77,48,83,60
13221027,89,80,72,90
13221028,55,31,72,43
13221029,79,90,79,85
13221030,78,91,82,60
13221031,41,68,74,93
13221032,89,49,68,79
13221033,56,37,35,49
13221034,72,93,42,70
13221035,87,86,48,56
13221036,49,59,32,58
13221037,47,47,77,89
13221038,80,84,30,77
13221039,96,94,90,89
13221040,54,77,71,70
13221041,80,62,34,71
13221042,87,57,86,97
13221043,59,94,60,44
13221044,77,90,39,83
13221045,63,84,92,52
13221046,55,82,65,95
13221047,48,72,32,96
13221048,63,74,46,40
13221049,98,86,43,63
13221050,92,95,64,36
13221051,43,99,56,57
13221052,68,37,57,68
13221053,87,38,76,55
13221054,43,96,44,34
13221055,55,35,40,65
13221056,45,81,70,70
13221057,37,45,96,50
13221058,44,63,40,74
13221059,77,45,55,31
13221060,97,94,82,31
13221061,92,45,63,44
13221062,64,30,86,68
13221063,59,57,75,41
13221064,84,75,73,88
13221065,93,33,72,47
13221066,81,57,41,69
13221067,94,55,51,61
13221068,52,78,80,54
13221069,69,100,100,100
13221070,41,85,37,89
13221071,99,70,59,41
13221072,75,30,63,78
13221073,33,39,45,59
13221074,69,95,46,41
13221075,42,45,83,50
13221076,53,48,78,75
13221077,81,61,63,74
13221078,63,55,71,39
13221079,57,30,44,75
13221080,90,53,77,79
13221081,78,72,88,74
13221082,92,74,51,94
13221083,89,43,63,80
13221084,80,45,40,31
13221085,95,48,98,60
13221086,47,44,36,42
13221087,90,82,71,78
13221088,67,74,53,71
13221089,41,56,61,80
13221090,52,84,91,30
